Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,ID,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,
"'ysl'",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://image.harrods.com/15/14/16/52/15141652_26022636_2048.jpg,3,,,,,,,,,,,,,,,,,,,g,,,,
"'ysl'",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://image.harrods.com/15/14/16/52/15141652_26022637_2048.jpg,4,,,,,,,,,,,,,,,,,,,g,,,,
"'ysl'",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://image.harrods.com/15/14/16/52/15141652_26022633_2048.jpg,5,,,,,,,,,,,,,,,,,,,g,,,,
"'ysl'",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://image.harrods.com/15/14/16/52/15141652_26022632_2048.jpg,6,,,,,,,,,,,,,,,,,,,g,,,,
"'bobbi-brown'","'Bobbi Brown'","'Swipe on a sheer layer of Bobbi Brown’s best formula yet with the Crushed Oil-Infused Gloss, creating the perfect finish with a glass-like sheen. Unlike any other lip glosses, hair sticking to your lips is a thing of the past thanks to the non-tacky formula that also leave lips hydrated like never before. Layer over the brand’s Crushed Lipstick for eye-catching colour, or simply leave glossy for a plump looking pout.
'",Eslam Hosny M.,,"Crushed Oil-Infused Gloss","Beauty, Make-Up, Lips, Lip Glosses",TRUE,https://www.harrods.com/en-bd/shopping/bobbi-brown-crushed-oil-infused-gloss-15149712,Color,No Colour Available,Size,'OS',,,,,,,deny,manual,'14',,TRUE,TRUE,,https://image.harrods.com/15/14/97/12/15149712_25865856_2048.jpg,1,,FALSE,,,,,,,"Crushed Oil-Infused Gloss",,,FALSE,,,,,,https://image.harrods.com/15/14/97/12/15149712_25865856_2048.jpg,g,,,active,
"'bobbi-brown'",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://image.harrods.com/15/14/97/12/15149712_25865863_2048.jpg,2,,,,,,,,,,,,,,,,,,,g,,,,
"'bobbi-brown'",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://image.harrods.com/15/14/97/12/15149712_25865874_2048.jpg,3,,,,,,,,,,,,,,,,,,,g,,,,
"'bobbi-brown'",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://image.harrods.com/15/14/97/12/15149712_25865881_2048.jpg,4,,,,,,,,,,,,,,,,,,,g,,,,
"'bobbi-brown'",,,,,,,,,,,,,,,,,,,deny,manual,,,TRUE,TRUE,,https://image.harrods.com/15/14/97/12/15149712_25865898_2048.jpg,5,,,,,,,,,,,,,,,,,,,g,,,,
"'estee-lauder'","'Estée Lauder'","'Saturate your pout with an undeniably daring colour courtesy of Estée Lauder’s Pure Color Envy Matte Sculpting Lipstick. The clue is in the name with this creamy formula, it dries to a sultry matte finish while remaining soft and smooth for all-day wear.
'",Eslam Hosny M.,,"Pure Color Envy Matte Sculpting Lipstick","Beauty, Make-Up, Lips, Lipsticks",TRUE,https://www.harrods.com/en-bd/shopping/estee-lauder-pure-color-envy-matte-sculpting-lipstick-15149770,Color,No Colour Available,Size,'OS',,,,,,,deny,manual,'29',,TRUE,TRUE,,https://image.harrods.com/15/14/97/70/15149770_25865983_2048.jpg,1,,FALSE,,,,,,,"Pure Color Envy Matte Sculpting Lipstick",,,FALSE,,,,,,https://image.harrods.com/15/14/97/70/15149770_25865983_2048.jpg,g,,,active,
